121
0	4082.4717
0.25	4076.2281
0.5	4068.2603
0.75	4058.279
1	4046.009
1.25	4031.2137
1.5	4013.7227
1.75	3993.4617
2	3970.4824
2.25	3944.9877
2.5	3917.3509
2.75	3888.1234
3	3858.0293
3.25	3827.945
3.5	3798.8626
3.75	3771.839
4	3747.9347
4.25	3728.145
4.5	3713.3322
4.75	3704.1636
5	3701.0622
5.25	3704.1774
5.5	3713.3798
5.75	3728.2881
6	3748.3362
6.25	3772.8968
6.5	3801.4806
6.75	3834.0321
7	3871.3248
7.25	3915.404
7.5	3969.9358
7.75	4040.2067
8	4132.4553
8.25	4252.2937
8.5	4402.2755
8.75	4579.161
9	4771.9212
9.25	4961.6913
9.5	5124.4561
9.75	5236.2316
10	5279.2956
10.25	5247.2701
10.5	5147.0705
10.75	4996.9187
11	4821.2127
11.25	4644.2198
11.5	4484.7784
11.75	4353.4327
12	4252.2365
12.25	4176.4728
12.5	4117.1757
12.75	4063.5825
13	4005.1798
13.25	3933.452
13.5	3843.5351
13.75	3735.7318
14	3616.4441
14.25	3497.8593
14.5	3395.9123
14.75	3326.6761
15	3302.1184
15.25	3326.6642
15.5	3395.8693
15.75	3497.725
16	3616.0585
16.25	3734.7018
16.5	3840.9648
16.75	3927.4453
17	3992.0181
17.25	4036.5207
17.5	4064.9434
17.75	4081.8129
18	4091.1363
18.25	4095.9419
18.5	4098.2546
18.75	4099.2948
19	4099.7323
19.25	4099.9046
19.5	4099.968
19.75	4099.9899
20	4099.997
20.25	4099.9992
20.5	4099.9998
20.75	4099.9999
21	4100
21.25	4100
21.5	4100
21.75	4100
22	4100
22.25	4100
22.5	4100
22.75	4100
23	4100
23.25	4100
23.5	4100
23.75	4100
24	4100
24.25	4100
24.5	4100
24.75	4100
25	4100
25.25	4100
25.5	4100
25.75	4100
26	4100
26.25	4100
26.5	4100
26.75	4100
27	4100
27.25	4100
27.5	4100
27.75	4100
28	4100
28.25	4100
28.5	4100
28.75	4100
29	4100
29.25	4100
29.5	4100
29.75	4100
30	4100
